Component,Property 1,Property 2,Property 3,Property 4,Property 5,Property 6,Property 7,Property 8,Property 9,Property 10
Cooler,Cooler Master Hyper 212 EVO,150,,,,,,,,
Cooler,Noctua NH-D15,220,,,,,,,,
Cooler,be quiet! Dark Rock Pro 4,250,,,,,,,,
Cooler,Corsair Hydro Series H100i PRO,250,,,,,,,,
Cooler,NZXT Kraken X63 ,250,,,,,,,,
Cooler,Cooler Master MasterLiquid ML240L RGB,230,,,,,,,,
Cooler,Arctic Freezer 34 eSports DUO,210,,,,,,,,
Cooler,Thermalright Le Grand Macho RT,300,,,,,,,,
Cooler,Deepcool Castle 240 RGB V2,230,,,,,,,,
Cooler,EVGA CLC 280,280,,,,,,,,
