Component,Property 1,Property 2,Property 3,Property 4,Property 5,Property 6,Property 7,Property 8,Property 9,Property 10
CPU,i3 1st gen,73,1156,DDR3,,,,,,
CPU,i3 2nd gen,65,1155,DDR3,,,,,,
CPU,i3 3rd gen,60,1155,DDR3,,,,,,
CPU,i3 4th gen,54,1150,DDR3,,,,,,
CPU,i3 5th gen,60,1150,DDR4,,,,,,
CPU,i3 6th gen,51,1151,DDR4,,,,,,
CPU,i3 7th gen,51,1151,DDR4,,,,,,
CPU,i3 8th gen,90,1151,DDR4,,,,,,
CPU,i3 9th gen,95,1151,DDR4,,,,,,
CPU,i3 10th gen ,90,1200,DDR4,,,,,,
CPU,i5 1st gen,70,1156,DDR3,,,,,,
CPU,i5 2nd gen,80,1155,DDR3,,,,,,
CPU,i5 3rd gen,60,1155,DDR3,,,,,,
CPU,i5 4th gen,70,1150,DDR3,,,,,,
CPU,i5 5th gen,50,1150,DDR4,,,,,,
CPU,i5 6th gen,60,1151,DDR4,,,,,,
CPU,i5 7th gen,60,1151,DDR4,,,,,,
CPU,i5 8th gen,90,1151,DDR4,,,,,,
CPU,i5 9th gen,110,1151,DDR4,,,,,,
CPU,i5 10th gen ,120,1200,DDR4,,,,,,
CPU,i7 1st gen,75,1156,DDR3,,,,,,
CPU,i7 2nd gen,80,1155,DDR3,,,,,,
CPU,i7 3rd gen,60,1155,DDR3,,,,,,
CPU,i7 4th gen,95,1150,DDR3,,,,,,
CPU,i7 5th gen,70,1150,DDR4,,,,,,
CPU,i7 6th gen,90,1151,DDR4,,,,,,
CPU,i7 7th gen,95,1151,DDR4,,,,,,
CPU,i7 8th gen,100,1151,DDR4,,,,,,
CPU,i7 9th gen,120,1151,DDR4,,,,,,
CPU,i7 10th gen ,140,1200,DDR4,,,,,,

Motherboard,Gigabyte GA-H61M-S2P,1156,DDR3,SATA,,,,,,
Motherboard,MSI H61M-P31/W8,1155,DDR3,SATA,,,,,,
Motherboard,ASUS P8Z77-V LK,1150,DDR3,SATA,,,,,,
Motherboard,ASUS H87-PRO,1150,DDR3,SATA,,,,,,
Motherboard,ASUS Prime Z590-A,1151,DDR4,M.2, Sata,,,,,
Motherboard,MSI MPG B460,1151,DDR4,M.2, Sata,,,,,
Motherboard,ASRock B365M Pro4,1151,DDR4,M.2, Sata,,,,,
Motherboard,Gigabyte H310M S2P 2.0,1151,DDR4,M.2, Sata,,,,,
Motherboard,ASRock Z490 Taichi,1151,DDR4,M.2, Sata,,,,,
Motherboard,ASUS ROG Maximus XII Hero,1200,DDR4,M.2, Sata,,,,,

Kingston HyperX Fury DDR3,DDR3,,,,,,,,,,
Crucial Ballistix DDR3,DDR3,,,,,,,,,,
Corsair Vengeance DDR3 ,DDR3,,,,,,,,,,
Crucial Ballistix DDR3,DDR3,,,,,,,,,,
G.Skill Ripjaws DDR3,DDR3,,,,,,,,,,
G.Skill Ripjaws DDR3,DDR3,,,,,,,,,,
Corsair Vengeance LPX DDR4,DDR4,,,,,,,,,,
Crucial Ballistix DDR4,DDR4,,,,,,,,,,
Kingston HyperX Predator DDR4,DDR4,,,,,,,,,,
Patriot Viper Steel DDR4,DDR4,,,,,,,,,,
ADATA XPG Spectrix D50 DDR4,DDR4,,,,,,,,,,

Cooler,Cooler Master Hyper 212 EVO,150,,,,,,,,
Cooler,Noctua NH-D15,220,,,,,,,,
Cooler,be quiet! Dark Rock Pro 4,250,,,,,,,,
Cooler,Corsair Hydro Series H100i PRO,250,,,,,,,,
Cooler,NZXT Kraken X63 ,250,,,,,,,,
Cooler,Cooler Master MasterLiquid ML240L RGB,230,,,,,,,,
Cooler,Arctic Freezer 34 eSports DUO,210,,,,,,,,
Cooler,Thermalright Le Grand Macho RT,300,,,,,,,,
Cooler,Deepcool Castle 240 RGB V2,230,,,,,,,,
Cooler,EVGA CLC 280,280,,,,,,,,

Storage,Baracuda 500GB HDD,Sata,,,,,,,,
Storage,Baracuda 1tb HDD,Sata,,,,,,,,
Storage,Samsung 860 EVO SATA III SSD,Sata,,,,,,,,
Storage,Crucial MX500 SATA III SSD,Sata,,,,,,,,
Storage,WD Blue 3D NAND SATA SSD,Sata,,,,,,,,
Storage,SanDisk Ultra 3D SATA III SSD,Sata,,,,,,,,
Storage,Samsung 970 EVO Plus NVMe M.2 SSD,m.2,,,,,,,,
Storage,WD Black NVMe M.2 SSD,m.2,,,,,,,,
Storage,Crucial P5 NVMe M.2 SSD,m.2,,,,,,,,
Storage,Sabrent Rocket NVMe M.2 SSD,m.2,,,,,,,,

GPU,GeForce GTX 750 Ti,60,,,,,,,,
GPU,GeForce GTX 950,90,,,,,,,,
GPU,GeForce GTX 1050 Ti ,75,,,,,,,,
GPU,GeForce GTX 1060 ,120,,,,,,,,
GPU,GeForce GTX 1080,180,,,,,,,,
GPU,GeForce RTX 2060,160,,,,,,,,
GPU,GeForce RTX 2080 Ti,260,,,,,,,,
GPU,Nvidia GeForce RTX 3050 ,120,,,,,,,,
GPU,GeForce RTX 3060 ,170,,,,,,,,
GPU,GeForce RTX 3080 Ti,350,,,,,,,,

Power supply,Seasonic S12III 700 SSR-700GB3 700W 80+,700,,,,,,,,
Power supply,Corsair RMx Series RM750x 750 ,750,,,,,,,,
Power supply,EVGA SuperNOVA 850 G3,800,,,,,,,,
Power supply,Seasonic PRIME 850W 80+,900,,,,,,,,
Power supply,EVGA SuperNOVA 1000 G5,1000,,,,,,,,
Power supply,Seasonic PRIME TX-1200,1200,,,,,,,,
